played_at;id;name;artists;album;duration_ms;explicit;href;is_local;popularity;uri
2022-08-02T06:36:19.322Z;1b3rBfZFmEdqQvj2aVY7pv;Tonight;Stealthy;Tonight;216000;False;https://api.spotify.com/v1/tracks/1b3rBfZFmEdqQvj2aVY7pv;False;29;spotify:track:1b3rBfZFmEdqQvj2aVY7pv
2022-08-02T06:32:42.849Z;0ORzR5SgTU65R2obmD11s5;To Hell and Back;Razihel;To Hell and Back;154918;True;https://api.spotify.com/v1/tracks/0ORzR5SgTU65R2obmD11s5;False;57;spotify:track:0ORzR5SgTU65R2obmD11s5
2022-08-02T06:30:07.512Z;1xaMPjSb6wUhuLkTeYe7oN;Moonweil;Aega;Moonweil;115238;True;https://api.spotify.com/v1/tracks/1xaMPjSb6wUhuLkTeYe7oN;False;29;spotify:track:1xaMPjSb6wUhuLkTeYe7oN
2022-08-02T06:28:11.791Z;7nLbEx8juSAeanLzMjYhpT;chichen itza;zecki;chichen itza;131680;False;https://api.spotify.com/v1/tracks/7nLbEx8juSAeanLzMjYhpT;False;61;spotify:track:7nLbEx8juSAeanLzMjYhpT
2022-08-02T06:25:59.718Z;5PZnUGhN8xnU1rXqlJINT1;JUST A SECRETS;FRZB;JUST A SECRETS;244625;True;https://api.spotify.com/v1/tracks/5PZnUGhN8xnU1rXqlJINT1;False;34;spotify:track:5PZnUGhN8xnU1rXqlJINT1
2022-08-02T06:21:54.647Z;0D3SaRvnoMohXOEJ75GieD;BLOOD RACE;Ghostface Playa;BLOOD RACE;109565;True;https://api.spotify.com/v1/tracks/0D3SaRvnoMohXOEJ75GieD;False;61;spotify:track:0D3SaRvnoMohXOEJ75GieD
2022-08-02T06:20:04.623Z;21joBYmdagv4lNNTiNyHei;YANDERE CARNAGE;Rixat;YANDERE CARNAGE;157500;True;https://api.spotify.com/v1/tracks/21joBYmdagv4lNNTiNyHei;False;32;spotify:track:21joBYmdagv4lNNTiNyHei
2022-08-02T06:17:26.615Z;4QQyXwqvTF9oByQlSmWhCc;Destination;VØJ;Destination;144135;True;https://api.spotify.com/v1/tracks/4QQyXwqvTF9oByQlSmWhCc;False;64;spotify:track:4QQyXwqvTF9oByQlSmWhCc
2022-08-01T19:59:35.363Z;2c5CLmXwJ4V0IIqJ6B68gq;Tageslicht;RAF Camora;Tageslicht;173199;True;https://api.spotify.com/v1/tracks/2c5CLmXwJ4V0IIqJ6B68gq;False;56;spotify:track:2c5CLmXwJ4V0IIqJ6B68gq
2022-08-01T19:56:41.087Z;0prbvDtiY8FrZKEj8LF4Rs;I Like You (A Happier Song) (with Doja Cat);Post Malone;Twelve Carat Toothache;192840;False;https://api.spotify.com/v1/tracks/0prbvDtiY8FrZKEj8LF4Rs;False;70;spotify:track:0prbvDtiY8FrZKEj8LF4Rs
2022-08-01T19:53:28.627Z;6Sq7ltF9Qa7SNFBsV5Cogx;Me Porto Bonito;Bad Bunny;Un Verano Sin Ti;178567;True;https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx;False;100;spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx
2022-08-01T19:45:59.816Z;7aZsMvEdZBsZHUG3OGbPpD;Let The Dark Do The Rest;Korn;Requiem;219613;False;https://api.spotify.com/v1/tracks/7aZsMvEdZBsZHUG3OGbPpD;False;53;spotify:track:7aZsMvEdZBsZHUG3OGbPpD
2022-08-01T19:42:19.431Z;0XHnYbXteyBDfVvk9EGaPu;Never Gonna Learn;Asking Alexandria;See What’s On The Inside;198041;True;https://api.spotify.com/v1/tracks/0XHnYbXteyBDfVvk9EGaPu;False;59;spotify:track:0XHnYbXteyBDfVvk9EGaPu
2022-08-01T19:39:01.091Z;3aniWcwiiYKHpm3F5TdeKD;Teardrops;Bring Me The Horizon;Teardrops;215003;True;https://api.spotify.com/v1/tracks/3aniWcwiiYKHpm3F5TdeKD;False;61;spotify:track:3aniWcwiiYKHpm3F5TdeKD
2022-08-01T19:35:25.938Z;00daiXpq7Jb76fXCJZA6rN;Daywalker;2LADE;MANN MIT DER BRILLE;125560;False;https://api.spotify.com/v1/tracks/00daiXpq7Jb76fXCJZA6rN;False;43;spotify:track:00daiXpq7Jb76fXCJZA6rN
2022-08-01T16:17:19.972Z;3WXOo12a4vYfRSNx1RzH0T;Put Your Hands Up;ONEIL;Put Your Hands Up;141686;True;https://api.spotify.com/v1/tracks/3WXOo12a4vYfRSNx1RzH0T;False;45;spotify:track:3WXOo12a4vYfRSNx1RzH0T
2022-08-01T16:16:16.446Z;6o2FQGObDH7kCpYlvJH2ai;Get Low;Butch U;Get Low;221714;False;https://api.spotify.com/v1/tracks/6o2FQGObDH7kCpYlvJH2ai;False;52;spotify:track:6o2FQGObDH7kCpYlvJH2ai
2022-08-01T13:13:12.814Z;0XHnYbXteyBDfVvk9EGaPu;Never Gonna Learn;Asking Alexandria;See What’s On The Inside;198041;True;https://api.spotify.com/v1/tracks/0XHnYbXteyBDfVvk9EGaPu;False;59;spotify:track:0XHnYbXteyBDfVvk9EGaPu
2022-08-01T12:55:35.208Z;3aniWcwiiYKHpm3F5TdeKD;Teardrops;Bring Me The Horizon;Teardrops;215003;True;https://api.spotify.com/v1/tracks/3aniWcwiiYKHpm3F5TdeKD;False;61;spotify:track:3aniWcwiiYKHpm3F5TdeKD
